MOLECULE,ROUTE,TECHNICAL_SPECIFICATIONS,ATC_CODE,_BRAND_CANDIDATE,_BRAND_CANDIDATE_N,_FDA_BRAND_N,_FDA_GENERIC_N,_GENERIC_FROM_BRAND,_GENERIC_BEST,_GENERIC_BASE,_ROUTE_N,_STRENGTHS,_FORMS,_SIG3,_ROUTE_FAMILY,_FORM_FIRST,_FORM_GROUP
Diphtheria + Tetanus Toxoids + Acellular Pertussis + Haemophilus Influenzae Type B (DTaP + Hib) Vaccine,Inj.:,0.5 mL Pre-filled syringe (IM) ,J07AG52,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + ACELLULAR PERTUSSIS + HAEMOPHILUS INFLUENZAE TYPE B (DTAP + HIB) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + ACELLULAR PERTUSSIS + HAEMOPHILUS INFLUENZAE TYPE B (DTAP + HIB) VACCINE,INJ.,[],['PRE-FILLED SYRINGE'],[]|['PRE-FILLED SYRINGE']|INJ.,INJ.,PRE-FILLED SYRINGE,PRE-FILLED SYRINGE
Diphtheria + Tetanus Toxoids + Pertussis (DTP) Vaccine,Inj.:,0.5 mL Ampul (IM) *Primary Health Care,J07AJ51,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,INJ.,[],['AMPUL'],[]|['AMPUL']|INJ.,INJ.,AMPUL,AMPUL
Diphtheria + Tetanus Toxoids + Pertussis (DTP) Vaccine,Inj.:,0.5 mL Pre-filled syringe (IM) *Primary Health Care,J07AJ51,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,INJ.,[],['PRE-FILLED SYRINGE'],[]|['PRE-FILLED SYRINGE']|INJ.,INJ.,PRE-FILLED SYRINGE,PRE-FILLED SYRINGE
Diphtheria + Tetanus Toxoids + Pertussis (DTP) Vaccine,Inj.:,in 0.5 mL Vial (IM) *Primary Health Care,J07AJ51,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,INJ.,[],['VIAL'],[]|['VIAL']|INJ.,INJ.,VIAL,VIAL
Diphtheria + Tetanus Toxoids + Pertussis (DTP) Vaccine,Inj.:,in 5 mL Vial (IM) *Primary Health Care,J07AJ51,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,INJ.,[],['VIAL'],[]|['VIAL']|INJ.,INJ.,VIAL,VIAL
Diphtheria + Tetanus Toxoids + Pertussis (DTP) Vaccine,Inj.:,in 7.5 mL Vial (IM) *Primary Health Care,J07AJ51,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,INJ.,[],['VIAL'],[]|['VIAL']|INJ.,INJ.,VIAL,VIAL
Diphtheria + Tetanus Toxoids + Pertussis (DTP) Vaccine,Inj.:,in 10 mL Vial (IM) *Primary Health Care,J07AJ51,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,INJ.,[],['VIAL'],[]|['VIAL']|INJ.,INJ.,VIAL,VIAL
Diphtheria + Tetanus Toxoids + Pertussis + Haemophilus Influenzae Type B (DTP + Hib) Vaccine,Inj.:,"10 mcg (as Hib) Freeze-dried powder Vial + 0.5 mL DTP diluent in pre-filled syringe (IM, SC) ",J07CA11,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS + HAEMOPHILUS INFLUENZAE TYPE B (DTP + HIB) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS + HAEMOPHILUS INFLUENZAE TYPE B (DTP + HIB) VACCINE,INJ.,['10.0MCG'],"['PRE-FILLED SYRINGE', 'VIAL']","['10.0MCG']|['PRE-FILLED SYRINGE', 'VIAL']|INJ.",INJ.,PRE-FILLED SYRINGE,PRE-FILLED SYRINGE
Diphtheria + Tetanus Toxoids + Pertussis + Hepatitis B (Recombinant) Vaccine,Inj.:,"0.5 mL Vial (IM, SC) ",J07CA05,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS + HEPATITIS B (RECOMBINANT) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS + HEPATITIS B (RECOMBINANT) VACCINE,INJ.,[],['VIAL'],[]|['VIAL']|INJ.,INJ.,VIAL,VIAL
Diphtheria + Tetanus Toxoids + Pertussis + Inactivated Polio Vaccine (DTP + IPV) Vaccine,Inj.:,"0.5 mL Monodose vial (IM, SC) ",J07CA02,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS + INACTIVATED POLIO VACCINE (DTP + IPV) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS + INACTIVATED POLIO VACCINE (DTP + IPV) VACCINE,INJ.,[],['VIAL'],[]|['VIAL']|INJ.,INJ.,VIAL,VIAL
Diphtheria + Tetanus Toxoids + Pertussis + Inactivated Polio Vaccine (DTP + IPV) Vaccine,Inj.:,"0.5 mL Pre-filled syringe (IM, SC) ",J07CA02,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS + INACTIVATED POLIO VACCINE (DTP + IPV) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS + INACTIVATED POLIO VACCINE (DTP + IPV) VACCINE,INJ.,[],['PRE-FILLED SYRINGE'],[]|['PRE-FILLED SYRINGE']|INJ.,INJ.,PRE-FILLED SYRINGE,PRE-FILLED SYRINGE
Diphtheria + Tetanus Toxoids + Pertussis + Inactivated Polio Vaccine + Haemophilus Influenzae Type B (DTP + IPV + Hib) Vaccine,Inj.:,"0.5 mL Pre-filled syringe (IM, SC) ",J07CA06,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS + INACTIVATED POLIO VACCINE + HAEMOPHILUS INFLUENZAE TYPE B (DTP + IPV + HIB) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS + INACTIVATED POLIO VACCINE + HAEMOPHILUS INFLUENZAE TYPE B (DTP + IPV + HIB) VACCINE,INJ.,[],['PRE-FILLED SYRINGE'],[]|['PRE-FILLED SYRINGE']|INJ.,INJ.,PRE-FILLED SYRINGE,PRE-FILLED SYRINGE
Diphtheria Antitoxin,Inj.:,"10,000 IU in 5 mL (IM) ",J06AA01,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA ANTITOXIN,DIPHTHERIA ANTITOXIN,INJ.,['0.0IU'],['UNSPECIFIED'],['0.0IU']|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
Diphtheria Antitoxin,Inj.:,"10,000 IU in 10 mL (IM) ",J06AA01,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA ANTITOXIN,DIPHTHERIA ANTITOXIN,INJ.,['0.0IU'],['UNSPECIFIED'],['0.0IU']|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
Diphtheria Antitoxin,Inj.:,"20,000 IU in 5 mL (IM) ",J06AA01,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA ANTITOXIN,DIPHTHERIA ANTITOXIN,INJ.,['0.0IU'],['UNSPECIFIED'],['0.0IU']|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
Diphtheria Antitoxin,Inj.:,"20,000 IU in 10 mL (IM) ",J06AA01,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA ANTITOXIN,DIPHTHERIA ANTITOXIN,INJ.,['0.0IU'],['UNSPECIFIED'],['0.0IU']|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
Dipyridamole,Oral:,25 mg Tablet (Preferably used in combination with aspirin) ,B01AC07,,,,STREPTOKINASE,STREPTOKINASE,DIPYRIDAMOLE,DIPYRIDAMOLE,PO,['25.0MG'],['TABLET'],['25.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Dobutamine,Inj.:,50 mg/mL (as Hydrochloride) in 5 mL Ampul (Concentrate) (IV infusion) ,C01CA07,,,,STREPTOKINASE,STREPTOKINASE,DOBUTAMINE,DOBUTAMINE,INJ.,"['50.0MG/1ML', '50.0MG']",['AMPUL'],"['50.0MG/1ML', '50.0MG']|['AMPUL']|INJ.",INJ.,AMPUL,AMPUL
Dobutamine,Inj.:,2 mg/mL (as Hydrochloride) + 250 mL D5W (pre-mixed) (IV) ,C01CA07,,,,STREPTOKINASE,STREPTOKINASE,DOBUTAMINE,DOBUTAMINE,INJ.,"['2.0MG/1ML', '2.0MG']",['UNSPECIFIED'],"['2.0MG/1ML', '2.0MG']|['UNSPECIFIED']|INJ.",INJ.,UNSPECIFIED,UNSPECIFIED
Docetaxel,Inj.:,10 mg/mL Solution for infusion in 2 mL Vial (IV infusion) ,L01CD02,,,,STREPTOKINASE,STREPTOKINASE,DOCETAXEL,DOCETAXEL,INJ.,"['10.0MG/1ML', '10.0MG']","['VIAL', 'SOLUTION']","['10.0MG/1ML', '10.0MG']|['VIAL', 'SOLUTION']|INJ.",INJ.,VIAL,VIAL
Docetaxel,Inj.:,10 mg/mL Solution for infusion in 8 mL Vial (IV infusion) ,L01CD02,,,,STREPTOKINASE,STREPTOKINASE,DOCETAXEL,DOCETAXEL,INJ.,"['10.0MG/1ML', '10.0MG']","['VIAL', 'SOLUTION']","['10.0MG/1ML', '10.0MG']|['VIAL', 'SOLUTION']|INJ.",INJ.,VIAL,VIAL
Docetaxel,Inj.:,20 mg/0.5 mL (as Anhydrous) in 0.5 mL Vial (IV infusion) ,L01CD02,,,,STREPTOKINASE,STREPTOKINASE,DOCETAXEL,DOCETAXEL,INJ.,"['20.0MG/0.5ML', '20.0MG']",['VIAL'],"['20.0MG/0.5ML', '20.0MG']|['VIAL']|INJ.",INJ.,VIAL,VIAL
Docetaxel,Inj.:,40 mg/mL (as Anhydrous) in 2 mL Vial (IV infusion) ,L01CD02,,,,STREPTOKINASE,STREPTOKINASE,DOCETAXEL,DOCETAXEL,INJ.,"['40.0MG/1ML', '40.0MG']",['VIAL'],"['40.0MG/1ML', '40.0MG']|['VIAL']|INJ.",INJ.,VIAL,VIAL
Docetaxel,Inj.:,20 mg/mL (as Trihydrate) Solution for IV infusion in 1 mL Vial (Concentrate) ,L01CD02,,,,STREPTOKINASE,STREPTOKINASE,DOCETAXEL,DOCETAXEL,INJ.,"['20.0MG/1ML', '20.0MG']","['VIAL', 'SOLUTION']","['20.0MG/1ML', '20.0MG']|['VIAL', 'SOLUTION']|INJ.",INJ.,VIAL,VIAL
Docetaxel,Inj.:,80 mg/4 mL (as Trihydrate) Solution for IV infusion in 4 mL Vial (Concentrate) ,L01CD02,,,,STREPTOKINASE,STREPTOKINASE,DOCETAXEL,DOCETAXEL,INJ.,"['80.0MG/4ML', '80.0MG']","['VIAL', 'SOLUTION']","['80.0MG/4ML', '80.0MG']|['VIAL', 'SOLUTION']|INJ.",INJ.,VIAL,VIAL
Dolutegravir,Oral:,50 mg Tablet ,J05AJ03,,,,STREPTOKINASE,STREPTOKINASE,DOLUTEGRAVIR,DOLUTEGRAVIR,PO,['50.0MG'],['TABLET'],['50.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Domperidone,Oral:,10 mg Tablet ,A03FA03,,,,STREPTOKINASE,STREPTOKINASE,DOMPERIDONE,DOMPERIDONE,PO,['10.0MG'],['TABLET'],['10.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Domperidone,Oral:,1 mg/mL Suspension in 60 mL ,A03FA03,,,,STREPTOKINASE,STREPTOKINASE,DOMPERIDONE,DOMPERIDONE,PO,"['1.0MG/1ML', '1.0MG']",['SUSPENSION'],"['1.0MG/1ML', '1.0MG']|['SUSPENSION']|PO",ENTERAL,SUSPENSION,LIQUID_ORAL
Donepizil,Oral:,5 mg Tablet/Orodispersible tablet (ODT) ,N06DA02,,,,STREPTOKINASE,STREPTOKINASE,DONEPIZIL,DONEPIZIL,PO,['5.0MG'],['TABLET'],['5.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Donepizil,Oral:,10 mg Tablet/Orodispersible tablet (ODT) ,N06DA02,,,,STREPTOKINASE,STREPTOKINASE,DONEPIZIL,DONEPIZIL,PO,['10.0MG'],['TABLET'],['10.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Dopamine,Inj.:,40 mg/mL (as Hydrochloride) in 5 mL Ampul/Vial (IV) *Primary Health Care,C01CA04,,,,STREPTOKINASE,STREPTOKINASE,DOPAMINE,DOPAMINE,INJ.,"['40.0MG/1ML', '40.0MG']","['AMPUL', 'VIAL']","['40.0MG/1ML', '40.0MG']|['AMPUL', 'VIAL']|INJ.",INJ.,AMPUL,AMPUL
Dopamine,Inj.:,800 mcg/mL (as Hydrochloride) + 250 mL D5W (pre-mixed) (IV) *Primary Health Care,C01CA04,,,,STREPTOKINASE,STREPTOKINASE,DOPAMINE,DOPAMINE,INJ.,"['800.0MCG/1ML', '800.0MCG']",['UNSPECIFIED'],"['800.0MCG/1ML', '800.0MCG']|['UNSPECIFIED']|INJ.",INJ.,UNSPECIFIED,UNSPECIFIED
Dopamine,Inj.:,1.6 mg/mL (as Hydrochloride) + 250 mL D5W (pre-mixed) (IV) ,C01CA04,,,,STREPTOKINASE,STREPTOKINASE,DOPAMINE,DOPAMINE,INJ.,"['1.6MG/1ML', '1.6MG']",['UNSPECIFIED'],"['1.6MG/1ML', '1.6MG']|['UNSPECIFIED']|INJ.",INJ.,UNSPECIFIED,UNSPECIFIED
Dopamine,Inj.:,80 mg/mL in 5 mL Vial (IV) *Primary Health Care,C01CA04 ,,,,STREPTOKINASE,STREPTOKINASE,DOPAMINE,DOPAMINE,INJ.,"['80.0MG/1ML', '80.0MG']",['VIAL'],"['80.0MG/1ML', '80.0MG']|['VIAL']|INJ.",INJ.,VIAL,VIAL
Dorzolamide,Ophthalmic:,2% (as Hydrochloride) Ophthalmic solution in 5 mL Vial (drops) ,S01EC03,,,,STREPTOKINASE,STREPTOKINASE,DORZOLAMIDE,DORZOLAMIDE,OPHTHALMIC,[],"['DROPS', 'VIAL', 'SOLUTION']","[]|['DROPS', 'VIAL', 'SOLUTION']|OPHTHALMIC",OPHTHALMIC,DROPS,DROPS
Doxorubicin,Inj.:,10 mg (as Hydrochloride) Powder Vial (IV) ,L01DB01,,,,STREPTOKINASE,STREPTOKINASE,DOXORUBICIN,DOXORUBICIN,INJ.,['10.0MG'],['VIAL'],['10.0MG']|['VIAL']|INJ.,INJ.,VIAL,VIAL
Doxorubicin,Inj.:,50 mg (as Hydrochloride) Powder Vial (IV) ,L01DB01,,,,STREPTOKINASE,STREPTOKINASE,DOXORUBICIN,DOXORUBICIN,INJ.,['50.0MG'],['VIAL'],['50.0MG']|['VIAL']|INJ.,INJ.,VIAL,VIAL
Doxorubicin,Inj.:,2 mg/mL (as Hydrochloride) in 5 mL Vial (IV) ,L01DB01,,,,STREPTOKINASE,STREPTOKINASE,DOXORUBICIN,DOXORUBICIN,INJ.,"['2.0MG/1ML', '2.0MG']",['VIAL'],"['2.0MG/1ML', '2.0MG']|['VIAL']|INJ.",INJ.,VIAL,VIAL
Doxorubicin,Inj.:,2 mg/mL (as Hydrochloride) in 25 mL Vial (IV) ,L01DB01,,,,STREPTOKINASE,STREPTOKINASE,DOXORUBICIN,DOXORUBICIN,INJ.,"['2.0MG/1ML', '2.0MG']",['VIAL'],"['2.0MG/1ML', '2.0MG']|['VIAL']|INJ.",INJ.,VIAL,VIAL
Doxycycline,Oral:,100 mg (as Hyclate) Capsule *Primary Health Care,J01AA02,,,,STREPTOKINASE,STREPTOKINASE,DOXYCYCLINE,DOXYCYCLINE,PO,['100.0MG'],['CAPSULE'],['100.0MG']|['CAPSULE']|PO,ENTERAL,CAPSULE,SOLID_ORAL
Dydrogesterone,Oral:,10 mg Tablet ,G03DB01,,,,STREPTOKINASE,STREPTOKINASE,DYDROGESTERONE,DYDROGESTERONE,PO,['10.0MG'],['TABLET'],['10.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Efavirenz,Oral:,50 mg Tablet/Capsule ,J05AG03,,,,STREPTOKINASE,STREPTOKINASE,EFAVIRENZ,EFAVIRENZ,PO,['50.0MG'],"['CAPSULE', 'TABLET']","['50.0MG']|['CAPSULE', 'TABLET']|PO",ENTERAL,CAPSULE,SOLID_ORAL
Efavirenz,Oral:,100 mg Tablet/Capsule ,J05AG03,,,,STREPTOKINASE,STREPTOKINASE,EFAVIRENZ,EFAVIRENZ,PO,['100.0MG'],"['CAPSULE', 'TABLET']","['100.0MG']|['CAPSULE', 'TABLET']|PO",ENTERAL,CAPSULE,SOLID_ORAL
Efavirenz,Oral:,200 mg Tablet/Capsule ,J05AG03,,,,STREPTOKINASE,STREPTOKINASE,EFAVIRENZ,EFAVIRENZ,PO,['200.0MG'],"['CAPSULE', 'TABLET']","['200.0MG']|['CAPSULE', 'TABLET']|PO",ENTERAL,CAPSULE,SOLID_ORAL
Efavirenz,Oral:,600 mg Tablet/Capsule ,J05AG03,,,,STREPTOKINASE,STREPTOKINASE,EFAVIRENZ,EFAVIRENZ,PO,['600.0MG'],"['CAPSULE', 'TABLET']","['600.0MG']|['CAPSULE', 'TABLET']|PO",ENTERAL,CAPSULE,SOLID_ORAL
Emtricitabine + Tenofovir,Oral:,200 mg + 300 mg (as Disoproxil fumarate) Tablet ,J05AR08,,,,STREPTOKINASE,STREPTOKINASE,EMTRICITABINE + TENOFOVIR,EMTRICITABINE + TENOFOVIR,PO,"['200.0MG', '300.0MG']",['TABLET'],"['200.0MG', '300.0MG']|['TABLET']|PO",ENTERAL,TABLET,SOLID_ORAL
Enalapril,Oral:,5 mg (as Maleate) Tablet *Primary Health Care,C09AA02,,,,STREPTOKINASE,STREPTOKINASE,ENALAPRIL,ENALAPRIL,PO,['5.0MG'],['TABLET'],['5.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Enalapril,Oral:,20 mg (as Maleate) Tablet *Primary Health Care,C09AA02,,,,STREPTOKINASE,STREPTOKINASE,ENALAPRIL,ENALAPRIL,PO,['20.0MG'],['TABLET'],['20.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Enalapril + Hydrochlorothiazide,Oral:,20 mg + 12.5 mg Tablet *Primary Health Care,C09BA02,,,,STREPTOKINASE,STREPTOKINASE,ENALAPRIL + HYDROCHLOROTHIAZIDE,ENALAPRIL + HYDROCHLOROTHIAZIDE,PO,"['20.0MG', '12.5MG']",['TABLET'],"['20.0MG', '12.5MG']|['TABLET']|PO",ENTERAL,TABLET,SOLID_ORAL
Enoxaparin,Inj.:,100 mg/mL (as Sodium) in 0.2 mL Pre-filled syringe (SC) ,B01AB05,,,,STREPTOKINASE,STREPTOKINASE,ENOXAPARIN,ENOXAPARIN,INJ.,"['100.0MG/1ML', '100.0MG']",['PRE-FILLED SYRINGE'],"['100.0MG/1ML', '100.0MG']|['PRE-FILLED SYRINGE']|INJ.",INJ.,PRE-FILLED SYRINGE,PRE-FILLED SYRINGE
Enoxaparin,Inj.:,100 mg/mL (as Sodium) in 0.4 mL Pre-filled syringe (SC) ,B01AB05,,,,STREPTOKINASE,STREPTOKINASE,ENOXAPARIN,ENOXAPARIN,INJ.,"['100.0MG/1ML', '100.0MG']",['PRE-FILLED SYRINGE'],"['100.0MG/1ML', '100.0MG']|['PRE-FILLED SYRINGE']|INJ.",INJ.,PRE-FILLED SYRINGE,PRE-FILLED SYRINGE
Enoxaparin,Inj.:,100 mg/mL (as Sodium) in 0.6 mL Pre-filled syringe (SC) ,B01AB05,,,,STREPTOKINASE,STREPTOKINASE,ENOXAPARIN,ENOXAPARIN,INJ.,"['100.0MG/1ML', '100.0MG']",['PRE-FILLED SYRINGE'],"['100.0MG/1ML', '100.0MG']|['PRE-FILLED SYRINGE']|INJ.",INJ.,PRE-FILLED SYRINGE,PRE-FILLED SYRINGE
Entecavir,Oral:,500 mcg Tablet/Film-coated tablet ,J05AF10,,,,STREPTOKINASE,STREPTOKINASE,ENTECAVIR,ENTECAVIR,PO,['500.0MCG'],['TABLET'],['500.0MCG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Entecavir,Oral:,1 mg/mL Tablet/Film-coated tablet ,J05AF10,,,,STREPTOKINASE,STREPTOKINASE,ENTECAVIR,ENTECAVIR,PO,"['1.0MG/1ML', '1.0MG']",['TABLET'],"['1.0MG/1ML', '1.0MG']|['TABLET']|PO",ENTERAL,TABLET,SOLID_ORAL
Entecavir,Oral:,0.05 mg/mL Solution ,J05AF10,,,,STREPTOKINASE,STREPTOKINASE,ENTECAVIR,ENTECAVIR,PO,"['0.05MG/1ML', '0.05MG']",['SOLUTION'],"['0.05MG/1ML', '0.05MG']|['SOLUTION']|PO",ENTERAL,SOLUTION,LIQUID_ORAL
Enteral Nutrition - Adult Polymeric,Oral/Tube feed:,"in 100 mL-1 L composed of:
Calories = 100-475 Kcal
Dilution = 1:1-2:1
Carbohydrates = 13.9-59 g
Protein = 3.8-19.9 g
Fat = 3.4-21.5 g
mOsm/kg = 270-730
Sodium = 75-402 mg
Potassium = 370-580 mg
Calcium = 80-500 mg 
Magnesium = 25-500 mg
Fiber = 0-1.5 g
Phosphorus = 47-307 mg ",V06DB,,,,STREPTOKINASE,STREPTOKINASE,ENTERAL NUTRITION - ADULT POLYMERIC,ENTERAL NUTRITION - ADULT POLYMERIC,ORAL/TUBE FEED,"['59.0G', '19.9G', '21.5G', '402.0MG', '580.0MG', '500.0MG', '500.0MG', '1.5G', '307.0MG']",['UNSPECIFIED'],"['59.0G', '19.9G', '21.5G', '402.0MG', '580.0MG', '500.0MG', '500.0MG', '1.5G', '307.0MG']|['UNSPECIFIED']|ORAL/TUBE FEED",ORAL/TUBE FEED,UNSPECIFIED,UNSPECIFIED
Enteral Nutrition - Disease Specific,Oral/Tube feed:,"in 50-500 mL composed of:
Calories = 100-1000 Kcal
Dilution = 1:1-2:1
Carbohydrates = 10.4-156 g
Protein = 5.5-88 g
Fat = 3.3-108 g
mOsm/kg = 230-635
Sodium = 80-2400 mg
Potassium = 172-5600 mg
Calcium = 80-500 mg 
Magnesium = 25-500 mg
Phosphorus = 50-1789 mg
50-500 g ",V06DB,,,,STREPTOKINASE,STREPTOKINASE,ENTERAL NUTRITION - DISEASE SPECIFIC,ENTERAL NUTRITION - DISEASE SPECIFIC,ORAL/TUBE FEED,"['156.0G', '88.0G', '108.0G', '2400.0MG', '5600.0MG', '500.0MG', '500.0MG', '1789.0MG', '500.0G']",['UNSPECIFIED'],"['156.0G', '88.0G', '108.0G', '2400.0MG', '5600.0MG', '500.0MG', '500.0MG', '1789.0MG', '500.0G']|['UNSPECIFIED']|ORAL/TUBE FEED",ORAL/TUBE FEED,UNSPECIFIED,UNSPECIFIED
Enteral Nutrition - Fiber Containing,Oral/Tube feed:,"in 500 mL composed of:
Calories = 100-1048 Kcal
Dilution = 1:1-2:1
Carbohydrates = 13.8-148 g
Protein = 3.8-40 g
Fat = 3.4-34.7 g
mOsm/kg = 270-375
Sodium = 46.5-930 mg
Potassium = 78.5-1570 mg
Phosphorus = 63-720 mg
Fiber = 2.0-10.6 g
100-400 g ",V06DB,,,,STREPTOKINASE,STREPTOKINASE,ENTERAL NUTRITION - FIBER CONTAINING,ENTERAL NUTRITION - FIBER CONTAINING,ORAL/TUBE FEED,"['148.0G', '40.0G', '34.7G', '930.0MG', '1570.0MG', '720.0MG', '10.6G', '400.0G']",['UNSPECIFIED'],"['148.0G', '40.0G', '34.7G', '930.0MG', '1570.0MG', '720.0MG', '10.6G', '400.0G']|['UNSPECIFIED']|ORAL/TUBE FEED",ORAL/TUBE FEED,UNSPECIFIED,UNSPECIFIED
Enteral Nutrition - Modular,Oral:,"in 280-400 g Composed of:
Calories = 9.5-380 Kcal
Dilution = 0
Carbohydrates = 0.67-94 g
Protein = 5-23 g
Fat = 0.6 g
mOsm/kg = 900
Sodium = 15-110 mg
Potassium = 10-66 mg 
Phosphorus = 5-30 mg ",V06DB,,,,STREPTOKINASE,STREPTOKINASE,ENTERAL NUTRITION - MODULAR,ENTERAL NUTRITION - MODULAR,PO,"['400.0G', '94.0G', '23.0G', '0.6G', '110.0MG', '66.0MG', '30.0MG']",['UNSPECIFIED'],"['400.0G', '94.0G', '23.0G', '0.6G', '110.0MG', '66.0MG', '30.0MG']|['UNSPECIFIED']|PO",ENTERAL,UNSPECIFIED,UNSPECIFIED
Enteral Nutrition - Pediatric Polymeric,Oral:,"in 100 g composed of:
Calories = 445-511 Kcal
Dilution = 1:1
Carbohydrates = 14.9-62.2 g
Protein = 13.4-54.3 g
Fat = 16.2-26 g
mOsm/kg = 308-345
Sodium = 120-250 mg
Potassium = 400-750 mg 
Phosphorus = 150-760 mg ",V06DB,,,,STREPTOKINASE,STREPTOKINASE,ENTERAL NUTRITION - PEDIATRIC POLYMERIC,ENTERAL NUTRITION - PEDIATRIC POLYMERIC,PO,"['100.0G', '62.2G', '54.3G', '26.0G', '250.0MG', '750.0MG', '760.0MG']",['UNSPECIFIED'],"['100.0G', '62.2G', '54.3G', '26.0G', '250.0MG', '750.0MG', '760.0MG']|['UNSPECIFIED']|PO",ENTERAL,UNSPECIFIED,UNSPECIFIED
Enteral Nutrition - Semi-elemental,Oral:,"in 100 mL-1 L composed of:
Calories = 100-1300 Kcal
Dilution = 1:1-1:5:1
Carbohydrates = 13.8-172.2 g
Protein = 3.0-66.6 g
Fat = 3.9-37.4 g
mOsm/kg = 375-575
Sodium = 66-1040 mg
Potassium = 135-1730 mg 
Phosphorus = 22-867 mg
76-450 g ",V06DB,,,,STREPTOKINASE,STREPTOKINASE,ENTERAL NUTRITION - SEMI-ELEMENTAL,ENTERAL NUTRITION - SEMI-ELEMENTAL,PO,"['172.2G', '66.6G', '37.4G', '1040.0MG', '1730.0MG', '867.0MG', '450.0G']",['UNSPECIFIED'],"['172.2G', '66.6G', '37.4G', '1040.0MG', '1730.0MG', '867.0MG', '450.0G']|['UNSPECIFIED']|PO",ENTERAL,UNSPECIFIED,UNSPECIFIED
Eperisone hydrochloride,Oral:,50 mg Tablet ,M03BX09,,,,STREPTOKINASE,STREPTOKINASE,EPERISONE HYDROCHLORIDE,EPERISONE,PO,['50.0MG'],['TABLET'],['50.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Ephedrine,Inj.:,30 mg/mL Solution for injection in 1 mL Ampul ,R03CA02,,,,STREPTOKINASE,STREPTOKINASE,EPHEDRINE,EPHEDRINE,INJ.,"['30.0MG/1ML', '30.0MG']","['AMPUL', 'SOLUTION']","['30.0MG/1ML', '30.0MG']|['AMPUL', 'SOLUTION']|INJ.",INJ.,AMPUL,AMPUL
