MOLECULE,ROUTE,TECHNICAL_SPECIFICATIONS,ATC_CODE,_BRAND_CANDIDATE,_BRAND_CANDIDATE_N,_FDA_BRAND_N,_FDA_GENERIC_N,_GENERIC_FROM_BRAND,_GENERIC_BEST,_GENERIC_BASE,_ROUTE_N,_STRENGTHS,_FORMS,_SIG3
Chlorhexedine,,4% (as Gluconate) Solution in 120 mL ,D08AC02,,,,STREPTOKINASE,STREPTOKINASE,CHLORHEXEDINE,CHLORHEXEDINE,,"['120ML', '4%']",['SOLUTION'],"120ML,4%|SOLUTION"
Chlorhexedine,,4% (as Gluconate) Solution in 380 mL ,D08AC02,,,,STREPTOKINASE,STREPTOKINASE,CHLORHEXEDINE,CHLORHEXEDINE,,"['380ML', '4%']",['SOLUTION'],"380ML,4%|SOLUTION"
Chlorhexedine,,4% (as Gluconate) Solution in 500 mL ,D08AC02,,,,STREPTOKINASE,STREPTOKINASE,CHLORHEXEDINE,CHLORHEXEDINE,,"['4%', '500ML']",['SOLUTION'],"4%,500ML|SOLUTION"
Chlorhexedine,,4% (as Gluconate) Solution in 4 L ,D08AC02,,,,STREPTOKINASE,STREPTOKINASE,CHLORHEXEDINE,CHLORHEXEDINE,,['4%'],['SOLUTION'],4%|SOLUTION
Chlorhexedine,,4% (as Gluconate) Solution in 5 L ,D08AC02,,,,STREPTOKINASE,STREPTOKINASE,CHLORHEXEDINE,CHLORHEXEDINE,,['4%'],['SOLUTION'],4%|SOLUTION
Chloroquine,Oral:,250 mg (150 mg base) (as Phosphate/Diphosphate) Tablet *Primary Health Care,P01BA01,,,,STREPTOKINASE,STREPTOKINASE,CHLOROQUINE,CHLOROQUINE,PO,"['150MG', '250MG']",['TABLET'],"150MG,250MG|TABLET|PO"
Chloroquine,Inj.:,"50 mg/mL (as Phosphate/Diphosphate) in 20 mL Vial (IM,IV) ",P01BA01,,,,STREPTOKINASE,STREPTOKINASE,CHLOROQUINE,CHLOROQUINE,INJ.,"['20ML', '50MG']",['VIAL'],"20ML,50MG|VIAL|INJ."
Chlorphenamine (Chlorpheniramine),Oral:,4 mg (as Maleate) Tablet ,R06AB04,,,,STREPTOKINASE,STREPTOKINASE,CHLORPHENAMINE (CHLORPHENIRAMINE),CHLORPHENAMINE (CHLORPHENIRAMINE),PO,['4MG'],['TABLET'],4MG|TABLET|PO
Chlorphenamine (Chlorpheniramine),Oral:,2.5 mg/5 mL (as Maleate) Syrup in 60 mL ,R06AB04,,,,STREPTOKINASE,STREPTOKINASE,CHLORPHENAMINE (CHLORPHENIRAMINE),CHLORPHENAMINE (CHLORPHENIRAMINE),PO,"['2.5MG/5ML', '60ML']",['SYRUP'],"2.5MG/5ML,60ML|SYRUP|PO"
Chlorphenamine (Chlorpheniramine),Inj.:,"10 mg/mL (as Maleate) in 1 mL (IM,IV) ",R06AB04,,,,STREPTOKINASE,STREPTOKINASE,CHLORPHENAMINE (CHLORPHENIRAMINE),CHLORPHENAMINE (CHLORPHENIRAMINE),INJ.,"['10MG', '1ML']",['UNSPECIFIED'],"10MG,1ML|UNSPECIFIED|INJ."
Chlorpromazine,Oral:,100 mg (as Hydrochloride) Tablet *Primary Health Care,N05AA01,,,,STREPTOKINASE,STREPTOKINASE,CHLORPROMAZINE,CHLORPROMAZINE,PO,['100MG'],['TABLET'],100MG|TABLET|PO
Chlorpromazine,Oral:,200 mg (as Hydrochloride) Tablet *Primary Health Care,N05AA01,,,,STREPTOKINASE,STREPTOKINASE,CHLORPROMAZINE,CHLORPROMAZINE,PO,['200MG'],['TABLET'],200MG|TABLET|PO
Chlorpromazine,Oral:,50 mg (as Hydrochloride) Tablet *Primary Health Care,N05AA01 ,,,,STREPTOKINASE,STREPTOKINASE,CHLORPROMAZINE,CHLORPROMAZINE,PO,['50MG'],['TABLET'],50MG|TABLET|PO
Chlorpromazine,Inj.:,25 mg/mL (as Hydrochloride) in 1 mL Ampul *Primary Health Care,N05AA01 ,,,,STREPTOKINASE,STREPTOKINASE,CHLORPROMAZINE,CHLORPROMAZINE,INJ.,"['1ML', '25MG']",['AMPUL'],"1ML,25MG|AMPUL|INJ."
Ciclosporin,Oral:,25 mg Capsule ,L04AD01,,,,STREPTOKINASE,STREPTOKINASE,CICLOSPORIN,CICLOSPORIN,PO,['25MG'],['CAPSULE'],25MG|CAPSULE|PO
Ciclosporin,Oral:,50 mg Capsule ,L04AD01,,,,STREPTOKINASE,STREPTOKINASE,CICLOSPORIN,CICLOSPORIN,PO,['50MG'],['CAPSULE'],50MG|CAPSULE|PO
Ciclosporin,Oral:,100 mg Capsule ,L04AD01,,,,STREPTOKINASE,STREPTOKINASE,CICLOSPORIN,CICLOSPORIN,PO,['100MG'],['CAPSULE'],100MG|CAPSULE|PO
Ciclosporin,Oral:,100 mg/mL Solution in 50 mL ,L04AD01,,,,STREPTOKINASE,STREPTOKINASE,CICLOSPORIN,CICLOSPORIN,PO,"['100MG', '50ML']",['SOLUTION'],"100MG,50ML|SOLUTION|PO"
Ciclosporin,Ophthalmic:,0.05% Ophthalmic emulsion in 0.4 mL Bottle ,L04AD01,,,,STREPTOKINASE,STREPTOKINASE,CICLOSPORIN,CICLOSPORIN,OPHTHALMIC,"['0.05%', '0.4ML']",['EMULSION'],"0.05%,0.4ML|EMULSION|OPHTHALMIC"
Cilostazol,Oral:,50 mg Tablet ,B01AC23,,,,STREPTOKINASE,STREPTOKINASE,CILOSTAZOL,CILOSTAZOL,PO,['50MG'],['TABLET'],50MG|TABLET|PO
Cilostazol,Oral:,100 mg Tablet ,B01AC23,,,,STREPTOKINASE,STREPTOKINASE,CILOSTAZOL,CILOSTAZOL,PO,['100MG'],['TABLET'],100MG|TABLET|PO
Cilostazol,Oral:,50 mg (20% w/w) Powder in 0.25 g Sachet ,B01AC23,,,,STREPTOKINASE,STREPTOKINASE,CILOSTAZOL,CILOSTAZOL,PO,"['0.25G', '20%', '50MG']",['SACHET'],"0.25G,20%,50MG|SACHET|PO"
Cilostazol,Oral:,100 mg (20% w/w) Powder in 0.5 g Sachet ,B01AC23,,,,STREPTOKINASE,STREPTOKINASE,CILOSTAZOL,CILOSTAZOL,PO,"['0.5G', '100MG', '20%']",['SACHET'],"0.5G,100MG,20%|SACHET|PO"
Cinnarizine,Oral:,25 mg Tablet ,N07CA02,,,,STREPTOKINASE,STREPTOKINASE,CINNARIZINE,CINNARIZINE,PO,['25MG'],['TABLET'],25MG|TABLET|PO
Ciprofloxacin,Oral:,250 mg (as Hydrochloride) Tablet *Primary Health Care,J01MA02,,,,STREPTOKINASE,STREPTOKINASE,CIPROFLOXACIN,CIPROFLOXACIN,PO,['250MG'],['TABLET'],250MG|TABLET|PO
Ciprofloxacin,Oral:,500 mg (as Hydrochloride) Tablet *Primary Health Care,J01MA02,,,,STREPTOKINASE,STREPTOKINASE,CIPROFLOXACIN,CIPROFLOXACIN,PO,['500MG'],['TABLET'],500MG|TABLET|PO
Ciprofloxacin,Inj.:,2 mg/mL (as Lactate) in 100 mL Vial + (IV infusion) ,J01MA02,,,,STREPTOKINASE,STREPTOKINASE,CIPROFLOXACIN,CIPROFLOXACIN,INJ.,"['100ML', '2MG']",['VIAL'],"100ML,2MG|VIAL|INJ."
Ciprofloxacin,Inj.:,400 mg/200 mL + (IV infusion) ,J01MA02,,,,STREPTOKINASE,STREPTOKINASE,CIPROFLOXACIN,CIPROFLOXACIN,INJ.,['400MG/200ML'],['UNSPECIFIED'],400MG/200ML|UNSPECIFIED|INJ.
Cisplatin,Inj.:,1 mg/mL in 10 mL Vial + (IV) ,L01XA01,,,,STREPTOKINASE,STREPTOKINASE,CISPLATIN,CISPLATIN,INJ.,"['10ML', '1MG']",['VIAL'],"10ML,1MG|VIAL|INJ."
Cisplatin,Inj.:,1 mg/mL in 50 mL Vial + (IV) ,L01XA01,,,,STREPTOKINASE,STREPTOKINASE,CISPLATIN,CISPLATIN,INJ.,"['1MG', '50ML']",['VIAL'],"1MG,50ML|VIAL|INJ."
Clarithromycin,Oral:,250 mg Tablet (Base) *Primary Health Care,J01FA09,,,,STREPTOKINASE,STREPTOKINASE,CLARITHROMYCIN,CLARITHROMYCIN,PO,['250MG'],['TABLET'],250MG|TABLET|PO
Clarithromycin,Oral:,500 mg Tablet (Base) *Primary Health Care,J01FA09,,,,STREPTOKINASE,STREPTOKINASE,CLARITHROMYCIN,CLARITHROMYCIN,PO,['500MG'],['TABLET'],500MG|TABLET|PO
Clarithromycin,Oral:,125 mg/5 mL Granules/Powder for suspension in 50 mL *Primary Health Care,J01FA09,,,,STREPTOKINASE,STREPTOKINASE,CLARITHROMYCIN,CLARITHROMYCIN,PO,"['125MG/5ML', '50ML']",['SUSPENSION'],"125MG/5ML,50ML|SUSPENSION|PO"
Clarithromycin,Oral:,250 mg/5 mL Granules/Powder for suspension in 50 mL *Primary Health Care,J01FA09,,,,STREPTOKINASE,STREPTOKINASE,CLARITHROMYCIN,CLARITHROMYCIN,PO,"['250MG/5ML', '50ML']",['SUSPENSION'],"250MG/5ML,50ML|SUSPENSION|PO"
Clindamycin,Oral:,150 mg (as Hydrochloride) Capsule *Primary Health Care,J01FF01,,,,STREPTOKINASE,STREPTOKINASE,CLINDAMYCIN,CLINDAMYCIN,PO,['150MG'],['CAPSULE'],150MG|CAPSULE|PO
Clindamycin,Oral:,300 mg (as Hydrochloride) Capsule *Primary Health Care,J01FF01,,,,STREPTOKINASE,STREPTOKINASE,CLINDAMYCIN,CLINDAMYCIN,PO,['300MG'],['CAPSULE'],300MG|CAPSULE|PO
Clindamycin,Oral:,75 mg/5 mL (as Palmitate hydrochloride) Granules for suspension in 60 mL *Primary Health Care,J01FF01,,,,STREPTOKINASE,STREPTOKINASE,CLINDAMYCIN,CLINDAMYCIN,PO,"['60ML', '75MG/5ML']",['SUSPENSION'],"60ML,75MG/5ML|SUSPENSION|PO"
Clindamycin,Inj.:,"150 mg/mL (as Phosphate) in 2 mL Ampul/Vial (IM, IV) ",J01FF01,,,,STREPTOKINASE,STREPTOKINASE,CLINDAMYCIN,CLINDAMYCIN,INJ.,"['150MG', '2ML']","['AMPUL', 'VIAL']","150MG,2ML|AMPUL,VIAL|INJ."
Clindamycin,Inj.:,"150 mg/mL (as Phosphate) in 4 mL Ampul (IM, IV) ",J01FF01,,,,STREPTOKINASE,STREPTOKINASE,CLINDAMYCIN,CLINDAMYCIN,INJ.,"['150MG', '4ML']",['AMPUL'],"150MG,4ML|AMPUL|INJ."
Clobetasol,Topical:,0.05% (as Propionate) Cream/Ointment in 5 g Tube ,D07AD01,,,,STREPTOKINASE,STREPTOKINASE,CLOBETASOL,CLOBETASOL,TOP,"['0.05%', '5G']","['CREAM', 'OINTMENT']","0.05%,5G|CREAM,OINTMENT|TOP"
Clobetasol,Topical:,0.05% (as Propionate) Cream/Ointment in 15 g Tube ,D07AD01,,,,STREPTOKINASE,STREPTOKINASE,CLOBETASOL,CLOBETASOL,TOP,"['0.05%', '15G']","['CREAM', 'OINTMENT']","0.05%,15G|CREAM,OINTMENT|TOP"
Clobetasol,Topical:,0.05% (as Propionate) Shampoo in 25 mL Bottle ,D07AD01,,,,STREPTOKINASE,STREPTOKINASE,CLOBETASOL,CLOBETASOL,TOP,"['0.05%', '25ML']",['UNSPECIFIED'],"0.05%,25ML|UNSPECIFIED|TOP"
Clofazimine,Oral:,50 mg Capsule *Primary Health Care,J04BA01,,,,STREPTOKINASE,STREPTOKINASE,CLOFAZIMINE,CLOFAZIMINE,PO,['50MG'],['CAPSULE'],50MG|CAPSULE|PO
Clofazimine,Oral:,100 mg Capsule *Primary Health Care,J04BA01,,,,STREPTOKINASE,STREPTOKINASE,CLOFAZIMINE,CLOFAZIMINE,PO,['100MG'],['CAPSULE'],100MG|CAPSULE|PO
Clomifene,Oral:,50 mg (as Citrate) Tablet ,G03GB02,,,,STREPTOKINASE,STREPTOKINASE,CLOMIFENE,CLOMIFENE,PO,['50MG'],['TABLET'],50MG|TABLET|PO
Clonazepam,Oral:,500 mcg Tablet ,N03AE01,,,,STREPTOKINASE,STREPTOKINASE,CLONAZEPAM,CLONAZEPAM,PO,['500MCG'],['TABLET'],500MCG|TABLET|PO
Clonazepam,Oral:,2 mg Tablet ,N03AE01,,,,STREPTOKINASE,STREPTOKINASE,CLONAZEPAM,CLONAZEPAM,PO,['2MG'],['TABLET'],2MG|TABLET|PO
Clonidine,Oral:,75 mcg (as Hydrochloride) Tablet *Primary Health Care,C02AC01,,,,STREPTOKINASE,STREPTOKINASE,CLONIDINE,CLONIDINE,PO,['75MCG'],['TABLET'],75MCG|TABLET|PO
Clonidine,Oral:,150 mcg (as Hydrochloride) Tablet ,C02AC01,,,,STREPTOKINASE,STREPTOKINASE,CLONIDINE,CLONIDINE,PO,['150MCG'],['TABLET'],150MCG|TABLET|PO
Clonidine,,150 mcg/mL (as Hydrochloride) in 1 mL Ampul (IV) ,C02AC01,,,,STREPTOKINASE,STREPTOKINASE,CLONIDINE,CLONIDINE,,"['150MCG', '1ML']",['AMPUL'],"150MCG,1ML|AMPUL"
Clopidogrel,Oral:,75 mg Tablet *Primary Health Care,B01AC04,,,,STREPTOKINASE,STREPTOKINASE,CLOPIDOGREL,CLOPIDOGREL,PO,['75MG'],['TABLET'],75MG|TABLET|PO
Clotrimazole,Topical:,1% (10 mg/g) Cream in 3 g Aluminum collapsible tube *Primary Health Care,G01AF02,,,,STREPTOKINASE,STREPTOKINASE,CLOTRIMAZOLE,CLOTRIMAZOLE,TOP,"['1%', '10MG', '3G']",['CREAM'],"1%,10MG,3G|CREAM|TOP"
Clotrimazole,Topical:,1% (10 mg/g) Cream in 10 g Aluminum collapsible tube *Primary Health Care,G01AF02,,,,STREPTOKINASE,STREPTOKINASE,CLOTRIMAZOLE,CLOTRIMAZOLE,TOP,"['1%', '10G', '10MG']",['CREAM'],"1%,10G,10MG|CREAM|TOP"
Clotrimazole,Topical:,1% (10 mg/g) Cream in 20 g Aluminum collapsible tube *Primary Health Care,G01AF02,,,,STREPTOKINASE,STREPTOKINASE,CLOTRIMAZOLE,CLOTRIMAZOLE,TOP,"['1%', '10MG', '20G']",['CREAM'],"1%,10MG,20G|CREAM|TOP"
Clotrimazole,Topical:,2% (20 mg/g) Cream in 30 g Aluminum collapsible tube *Primary Health Care,G01AF02,,,,STREPTOKINASE,STREPTOKINASE,CLOTRIMAZOLE,CLOTRIMAZOLE,TOP,"['2%', '20MG', '30G']",['CREAM'],"2%,20MG,30G|CREAM|TOP"
Clotrimazole,Vaginal:,1% Cream in 10 g Aluminum collapsible tube *Primary Health Care,G01AF02,,,,STREPTOKINASE,STREPTOKINASE,CLOTRIMAZOLE,CLOTRIMAZOLE,VAGINAL,"['1%', '10G']",['CREAM'],"1%,10G|CREAM|VAGINAL"
Clotrimazole,Otic:,1% Solution *Primary Health Care,G01AF02,,,,STREPTOKINASE,STREPTOKINASE,CLOTRIMAZOLE,CLOTRIMAZOLE,OTIC,['1%'],['SOLUTION'],1%|SOLUTION|OTIC
Cloxacillin,Oral:,500 mg (as Sodium) Capsule *Primary Health Care,J01CF02,,,,STREPTOKINASE,STREPTOKINASE,CLOXACILLIN,CLOXACILLIN,PO,['500MG'],['CAPSULE'],500MG|CAPSULE|PO
Cloxacillin,Oral:,250 mg/5 mL (as Sodium) Powder for solution in 60 mL *Primary Health Care,J01CF02,,,,STREPTOKINASE,STREPTOKINASE,CLOXACILLIN,CLOXACILLIN,PO,"['250MG/5ML', '60ML']",['SOLUTION'],"250MG/5ML,60ML|SOLUTION|PO"
Clozapine,Oral:,25 mg Tablet (Requires hematologic monitoring) *Primary Health Care,N05AH02,,,,STREPTOKINASE,STREPTOKINASE,CLOZAPINE,CLOZAPINE,PO,['25MG'],['TABLET'],25MG|TABLET|PO
Clozapine,Oral:,100 mg Tablet (Requires hematologic monitoring) *Primary Health Care,N05AH02,,,,STREPTOKINASE,STREPTOKINASE,CLOZAPINE,CLOZAPINE,PO,['100MG'],['TABLET'],100MG|TABLET|PO
Cobra Antivenin,Inj.:,800 MU/4.8 mL in 1 mL Ampul (IV infusion) *Primary Health Care,J06AA03,,,,STREPTOKINASE,STREPTOKINASE,COBRA ANTIVENIN,COBRA ANTIVENIN,INJ.,"['1ML', '4.8ML']",['AMPUL'],"1ML,4.8ML|AMPUL|INJ."
Cobra Antivenin,Inj.:,800 IU/mL in 5 mL Ampul (IV infusion) ,J06AA03,,,,STREPTOKINASE,STREPTOKINASE,COBRA ANTIVENIN,COBRA ANTIVENIN,INJ.,"['5ML', '800IU']",['AMPUL'],"5ML,800IU|AMPUL|INJ."
Codeine + A1,Oral:,30 mg (as Phosphate) Modified Release (MR) capsule ,R05DA04,,,,STREPTOKINASE,STREPTOKINASE,CODEINE + A1,CODEINE + A1,PO,['30MG'],['CAPSULE'],30MG|CAPSULE|PO
Codeine + A1,Oral:,10 mg/5 mL Suspension in 60 mL ,R05DA04,,,,STREPTOKINASE,STREPTOKINASE,CODEINE + A1,CODEINE + A1,PO,"['10MG/5ML', '60ML']",['SUSPENSION'],"10MG/5ML,60ML|SUSPENSION|PO"
Colchicine,Oral:,500 mcg Tablet ,M04AC01,,,,STREPTOKINASE,STREPTOKINASE,COLCHICINE,COLCHICINE,PO,['500MCG'],['TABLET'],500MCG|TABLET|PO
Colistin *Reserve antimicrobial,Inj.:,"2,000,000 IU Lyophilized powder for injection (IV infusion) ",J01XB01,,,,STREPTOKINASE,STREPTOKINASE,COLISTIN RESERVE ANTIMICROBIAL,COLISTIN RESERVE ANTIMICROBIAL,INJ.,['000IU'],['UNSPECIFIED'],000IU|UNSPECIFIED|INJ.
Combined Glucose-Amino Acid Solutions,,"in 100 mL composed of:
Concentration - Variable
Glucose (Sorbitol) = 25-50 g
Protein = 20-30 g
Calories = 300-450 Kcal
Electrolytes = Variable ",B05BA10,,,,STREPTOKINASE,STREPTOKINASE,COMBINED GLUCOSE-AMINO ACID SOLUTIONS,COMBINED GLUCOSE-AMINO ACID SOLUTIONS,,"['100ML', '30G', '50G']",['UNSPECIFIED'],"100ML,30G,50G|UNSPECIFIED"
Combined Glucose-Amino Acid Solutions,,"in 500 mL composed of:
Concentration - Variable
Glucose (Sorbitol) = 25-50 g
Protein = 20-30 g
Calories = 300-450 Kcal
Electrolytes = Variable ",B05BA10,,,,STREPTOKINASE,STREPTOKINASE,COMBINED GLUCOSE-AMINO ACID SOLUTIONS,COMBINED GLUCOSE-AMINO ACID SOLUTIONS,,"['30G', '500ML', '50G']",['UNSPECIFIED'],"30G,500ML,50G|UNSPECIFIED"
Conjugated Estrogen,Oral:,625 mcg Tablet ,G03CA57,,,,STREPTOKINASE,STREPTOKINASE,CONJUGATED ESTROGEN,CONJUGATED ESTROGEN,PO,['625MCG'],['TABLET'],625MCG|TABLET|PO
Conjugated Estrogen,Oral:,1.25 mg Tablet ,G03CA57,,,,STREPTOKINASE,STREPTOKINASE,CONJUGATED ESTROGEN,CONJUGATED ESTROGEN,PO,['1.25MG'],['TABLET'],1.25MG|TABLET|PO
Crotamiton,Topical:,10% Lotion in 60 mL ,P03AX ,,,,STREPTOKINASE,STREPTOKINASE,CROTAMITON,CROTAMITON,TOP,"['10%', '60ML']",['UNSPECIFIED'],"10%,60ML|UNSPECIFIED|TOP"
Cyclophosphamide,Inj.:,200 mg Powder Vial (IV) ,L01AA01,,,,STREPTOKINASE,STREPTOKINASE,CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,INJ.,['200MG'],['VIAL'],200MG|VIAL|INJ.
Cyclophosphamide,Inj.:,500 mg Powder Vial (IV) ,L01AA01,,,,STREPTOKINASE,STREPTOKINASE,CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,INJ.,['500MG'],['VIAL'],500MG|VIAL|INJ.
Cyclophosphamide,Inj.:,1 g Powder Vial (IV) ,L01AA01,,,,STREPTOKINASE,STREPTOKINASE,CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,INJ.,['1G'],['VIAL'],1G|VIAL|INJ.
Cycloserine,Oral:,250 mg Capsule ,J04AB01,,,,STREPTOKINASE,STREPTOKINASE,CYCLOSERINE,CYCLOSERINE,PO,['250MG'],['CAPSULE'],250MG|CAPSULE|PO
Cyproterone,Oral:,50 mg (as Acetate) Tablet ,G03HA01,,,,STREPTOKINASE,STREPTOKINASE,CYPROTERONE,CYPROTERONE,PO,['50MG'],['TABLET'],50MG|TABLET|PO
Cytarabine,Inj.:,"20 mg/mL in 5 mL Ampul (IM, SC, Intrathecal) ",L01BC01,,,,STREPTOKINASE,STREPTOKINASE,CYTARABINE,CYTARABINE,INJ.,"['20MG', '5ML']",['AMPUL'],"20MG,5ML|AMPUL|INJ."
Cytarabine,Inj.:,100 mg/mL Solution for injection in 1 mL ,L01BC01,,,,STREPTOKINASE,STREPTOKINASE,CYTARABINE,CYTARABINE,INJ.,"['100MG', '1ML']",['SOLUTION'],"100MG,1ML|SOLUTION|INJ."
Cytarabine,Inj.:,100 mg/mL Solution for injection in 5 mL ,L01BC01,,,,STREPTOKINASE,STREPTOKINASE,CYTARABINE,CYTARABINE,INJ.,"['100MG', '5ML']",['SOLUTION'],"100MG,5ML|SOLUTION|INJ."
Cytarabine,Inj.:,100 mg/mL Solution for injection in 10 mL ,L01BC01,,,,STREPTOKINASE,STREPTOKINASE,CYTARABINE,CYTARABINE,INJ.,"['100MG', '10ML']",['SOLUTION'],"100MG,10ML|SOLUTION|INJ."
Dabigatran,Oral:,110 mg Capsule ,B01AE07 ,,,,STREPTOKINASE,STREPTOKINASE,DABIGATRAN,DABIGATRAN,PO,['110MG'],['CAPSULE'],110MG|CAPSULE|PO
Dabigatran,Oral:,150 mg Capsule ,B01AE07 ,,,,STREPTOKINASE,STREPTOKINASE,DABIGATRAN,DABIGATRAN,PO,['150MG'],['CAPSULE'],150MG|CAPSULE|PO
Dacarbazine,Inj.:,"100 mg Powder Vial (IV,IV infusion) ",L01AX04,,,,STREPTOKINASE,STREPTOKINASE,DACARBAZINE,DACARBAZINE,INJ.,['100MG'],['VIAL'],100MG|VIAL|INJ.
Dacarbazine,Inj.:,"200 mg Powder Vial (IV,IV infusion) ",L01AX04,,,,STREPTOKINASE,STREPTOKINASE,DACARBAZINE,DACARBAZINE,INJ.,['200MG'],['VIAL'],200MG|VIAL|INJ.
Daclatasvir,Oral:,60 mg Tablet ,J05AP07,,,,STREPTOKINASE,STREPTOKINASE,DACLATASVIR,DACLATASVIR,PO,['60MG'],['TABLET'],60MG|TABLET|PO
Dactinomycin,Inj.:,500 mcg Powder Vial (IV) ,L01DA01,,,,STREPTOKINASE,STREPTOKINASE,DACTINOMYCIN,DACTINOMYCIN,INJ.,['500MCG'],['VIAL'],500MCG|VIAL|INJ.
Danazol,Oral:,200 mg Capsule ,G03XA01,,,,STREPTOKINASE,STREPTOKINASE,DANAZOL,DANAZOL,PO,['200MG'],['CAPSULE'],200MG|CAPSULE|PO
Dantrolene,Oral:,25 mg (as Sodium) Capsule ,M03CA01,,,,STREPTOKINASE,STREPTOKINASE,DANTROLENE,DANTROLENE,PO,['25MG'],['CAPSULE'],25MG|CAPSULE|PO
Dantrolene,Oral:,50 mg (as Sodium) Capsule ,M03CA01,,,,STREPTOKINASE,STREPTOKINASE,DANTROLENE,DANTROLENE,PO,['50MG'],['CAPSULE'],50MG|CAPSULE|PO
Dantrolene,Inj.:,20 mg  (as Sodium) Vial with mannitol 3 g (IV) ,M03CA01,,,,STREPTOKINASE,STREPTOKINASE,DANTROLENE,DANTROLENE,INJ.,"['20MG', '3G']",['VIAL'],"20MG,3G|VIAL|INJ."
Dapagliflozin,Oral:,10 mg Film-coated tablet ,A10BK01 ,,,,STREPTOKINASE,STREPTOKINASE,DAPAGLIFLOZIN,DAPAGLIFLOZIN,PO,['10MG'],['TABLET'],10MG|TABLET|PO
Dapsone,Oral:,100 mg Tablet *Primary Health Care,J04BA02,,,,STREPTOKINASE,STREPTOKINASE,DAPSONE,DAPSONE,PO,['100MG'],['TABLET'],100MG|TABLET|PO
Deferasirox,Oral:,125 mg Dispersible tablet ,V03AC03,,,,STREPTOKINASE,STREPTOKINASE,DEFERASIROX,DEFERASIROX,PO,['125MG'],['TABLET'],125MG|TABLET|PO
Deferasirox,Oral:,250 mg Dispersible tablet ,V03AC03,,,,STREPTOKINASE,STREPTOKINASE,DEFERASIROX,DEFERASIROX,PO,['250MG'],['TABLET'],250MG|TABLET|PO
Deferasirox,Oral:,90 mg Film-coated tablet ,V03AC03 ,,,,STREPTOKINASE,STREPTOKINASE,DEFERASIROX,DEFERASIROX,PO,['90MG'],['TABLET'],90MG|TABLET|PO
Deferasirox,Oral:,180 mg Film-coated tablet ,V03AC03 ,,,,STREPTOKINASE,STREPTOKINASE,DEFERASIROX,DEFERASIROX,PO,['180MG'],['TABLET'],180MG|TABLET|PO
Deferiprone,Oral:,500 mg Tablet ,V03AC02,,,,STREPTOKINASE,STREPTOKINASE,DEFERIPRONE,DEFERIPRONE,PO,['500MG'],['TABLET'],500MG|TABLET|PO
Deferoxamine,Inj.:,"500 mg (as Mesilate) Vial (IM, IV infusion, SC) ",V03AC01,,,,STREPTOKINASE,STREPTOKINASE,DEFEROXAMINE,DEFEROXAMINE,INJ.,['500MG'],['VIAL'],500MG|VIAL|INJ.
Delamanid,Oral:,50 mg Film-coated tablet ,J04AK06,,,,STREPTOKINASE,STREPTOKINASE,DELAMANID,DELAMANID,PO,['50MG'],['TABLET'],50MG|TABLET|PO
Desflurane,Inhalation:,in 240 mL Bottle ,N01AB07,,,,STREPTOKINASE,STREPTOKINASE,DESFLURANE,DESFLURANE,INH,['240ML'],['UNSPECIFIED'],240ML|UNSPECIFIED|INH
Desmopressin,Oral:,100 mcg (as Acetate) Tablet ,H01BA02,,,,STREPTOKINASE,STREPTOKINASE,DESMOPRESSIN,DESMOPRESSIN,PO,['100MCG'],['TABLET'],100MCG|TABLET|PO
Desmopressin,Oral:,200 mcg (as Acetate) Tablet ,H01BA02,,,,STREPTOKINASE,STREPTOKINASE,DESMOPRESSIN,DESMOPRESSIN,PO,['200MCG'],['TABLET'],200MCG|TABLET|PO
Desmopressin,Inj.:,"15 mcg/mL (as Acetate) in 1 mL Ampul (IM, SC) ",H01BA02,,,,STREPTOKINASE,STREPTOKINASE,DESMOPRESSIN,DESMOPRESSIN,INJ.,"['15MCG', '1ML']",['AMPUL'],"15MCG,1ML|AMPUL|INJ."
Dexamethasone,Oral:,500 mcg Tablet *Primary Health Care,S02BA06,,,,STREPTOKINASE,STREPTOKINASE,DEXAMETHASONE,DEXAMETHASONE,PO,['500MCG'],['TABLET'],500MCG|TABLET|PO
Dexamethasone,Oral:,750 mcg Tablet ,S02BA06,,,,STREPTOKINASE,STREPTOKINASE,DEXAMETHASONE,DEXAMETHASONE,PO,['750MCG'],['TABLET'],750MCG|TABLET|PO
Dexamethasone,Oral:,3 mg Tablet ,S02BA06,,,,STREPTOKINASE,STREPTOKINASE,DEXAMETHASONE,DEXAMETHASONE,PO,['3MG'],['TABLET'],3MG|TABLET|PO
Dexamethasone,Oral:,4 mg Tablet *Primary Health Care,S02BA06,,,,STREPTOKINASE,STREPTOKINASE,DEXAMETHASONE,DEXAMETHASONE,PO,['4MG'],['TABLET'],4MG|TABLET|PO
Dexamethasone,Inj.:,"4 mg/mL (as Sodium phosphate) in 1 mL Ampul/Vial (IM, IV) ",S02BA06,,,,STREPTOKINASE,STREPTOKINASE,DEXAMETHASONE,DEXAMETHASONE,INJ.,"['1ML', '4MG']","['AMPUL', 'VIAL']","1ML,4MG|AMPUL,VIAL|INJ."
