MOLECULE,ROUTE,TECHNICAL_SPECIFICATIONS,ATC_CODE,_BRAND_CANDIDATE,_BRAND_CANDIDATE_N,_FDA_BRAND_N,_FDA_GENERIC_N,_GENERIC_FROM_BRAND,_GENERIC_BEST,_GENERIC_BASE,_ROUTE_N
Dexamethasone,Oral:,500 mcg Tablet *Primary Health Care,S02BA06,,,,STREPTOKINASE,STREPTOKINASE,DEXAMETHASONE,DEXAMETHASONE,PO
Dexamethasone,Oral:,750 mcg Tablet ,S02BA06,,,,STREPTOKINASE,STREPTOKINASE,DEXAMETHASONE,DEXAMETHASONE,PO
Dexamethasone,Oral:,3 mg Tablet ,S02BA06,,,,STREPTOKINASE,STREPTOKINASE,DEXAMETHASONE,DEXAMETHASONE,PO
Dexamethasone,Oral:,4 mg Tablet *Primary Health Care,S02BA06,,,,STREPTOKINASE,STREPTOKINASE,DEXAMETHASONE,DEXAMETHASONE,PO
Dexamethasone,Inj.:,"4 mg/mL (as Sodium phosphate) in 1 mL Ampul/Vial (IM, IV) ",S02BA06,,,,STREPTOKINASE,STREPTOKINASE,DEXAMETHASONE,DEXAMETHASONE,INJ.
Dexamethasone,Inj.:,"4 mg/mL (as Sodium phosphate) in 2 mL Ampul/Vial (IM, IV) ",S02BA06,,,,STREPTOKINASE,STREPTOKINASE,DEXAMETHASONE,DEXAMETHASONE,INJ.
Dexamethasone,Inj.:,"5 mg/mL (as Sodium phosphate) Solution for IV infusion in 1 mL Ampul (IM,IV) *Primary Health Care",S02BA06,,,,STREPTOKINASE,STREPTOKINASE,DEXAMETHASONE,DEXAMETHASONE,INJ.
Dexamethasone,Ophthalmic:,0.1% Suspension for eye drops in 5 mL ,S02BA06,,,,STREPTOKINASE,STREPTOKINASE,DEXAMETHASONE,DEXAMETHASONE,OPHTHALMIC
"Dextran, High Molecular Weight",Inj.:,"6% (as Dextran 70) in 0.9% Sodium chloride, in 500 mL (IV infusion) ",B05AA05,,,,STREPTOKINASE,STREPTOKINASE,DEXTRAN HIGH MOLECULAR WEIGHT,DEXTRAN HIGH MOLECULAR WEIGHT,INJ.
"Dextran, High Molecular Weight",Inj.:,"6% (as Dextran 70) in 5% Dextrose, in 500 mL (IV infusion) ",B05AA05,,,,STREPTOKINASE,STREPTOKINASE,DEXTRAN HIGH MOLECULAR WEIGHT,DEXTRAN HIGH MOLECULAR WEIGHT,INJ.
Dextromethorphan,Oral:,10 mg (as Hydrobromide) Tablet ,R05DA09,,,,STREPTOKINASE,STREPTOKINASE,DEXTROMETHORPHAN,DEXTROMETHORPHAN,PO
Dextrose,Inj.:,"5% in 0.3% Sodium chloride, in 250 mL Bottle/Bag (IV infusion) composed of:
Dextrose = 50 g/L
Na+ = 51 mmol/L
Cl- = 51 mmol/L ",V06DC01,,,,STREPTOKINASE,STREPTOKINASE,DEXTROSE,DEXTROSE,INJ.
Dextrose,Inj.:,"5% in 0.3% Sodium chloride, in 500 mL Bottle/Bag (IV infusion) composed of:
Dextrose = 50 g/L
Na+ = 51 mmol/L
Cl- = 51 mmol/L ",V06DC01,,,,STREPTOKINASE,STREPTOKINASE,DEXTROSE,DEXTROSE,INJ.
Dextrose,Inj.:,"5% in 0.3% Sodium chloride, in 1 L Bottle/Bag (IV infusion) composed of:
Dextrose = 50 g/L
Na+ = 51 mmol/L
Cl- = 51 mmol/L ",V06DC01,,,,STREPTOKINASE,STREPTOKINASE,DEXTROSE,DEXTROSE,INJ.
Dextrose,Inj.:,"5% in 0.45% Sodium chloride, in 250 mL Bottle/Bag (IV infusion) composed of:
Dextrose = 50 g/L
Na+ = 77 mmol/L
Cl- = 77 mmol/L ",V06DC01,,,,STREPTOKINASE,STREPTOKINASE,DEXTROSE,DEXTROSE,INJ.
Dextrose,Inj.:,"5% in 0.45% Sodium chloride, in 500 mL Bottle/Bag (IV infusion) composed of:
Dextrose = 50 g/L
Na+ = 77 mmol/L
Cl- = 77 mmol/L ",V06DC01,,,,STREPTOKINASE,STREPTOKINASE,DEXTROSE,DEXTROSE,INJ.
Dextrose,Inj.:,"5% in 0.45% Sodium chloride, in 1 L Bottle/Bag (IV infusion) composed of:
Dextrose = 50 g/L
Na+ = 77 mmol/L
Cl- = 77 mmol/L ",V06DC01,,,,STREPTOKINASE,STREPTOKINASE,DEXTROSE,DEXTROSE,INJ.
Dextrose,Inj.:,"5% in 0.9% Sodium chloride, in 250 mL Bottle/Bag (IV infusion) composed of:
Dextrose = 50 g/L
Na+ = 154 mmol/L
Cl- = 154 mmol/L *Primary Health Care",V06DC01,,,,STREPTOKINASE,STREPTOKINASE,DEXTROSE,DEXTROSE,INJ.
Dextrose,Inj.:,"5% in 0.9% Sodium chloride, in 500 mL Bottle/Bag (IV infusion) composed of:
Dextrose = 50 g/L
Na+ = 154 mmol/L
Cl- = 154 mmol/L *Primary Health Care",V06DC01,,,,STREPTOKINASE,STREPTOKINASE,DEXTROSE,DEXTROSE,INJ.
Dextrose,Inj.:,"5% in 0.9% Sodium chloride, in 1 L Bottle/Bag (IV infusion) composed of:
Dextrose = 50 g/L
Na+ = 154 mmol/L
Cl- = 154 mmol/L *Primary Health Care",V06DC01,,,,STREPTOKINASE,STREPTOKINASE,DEXTROSE,DEXTROSE,INJ.
Dextrose,Inj.:,"5% in Lactated ringers in 250 mL Bottle/Bag (IV infusion) composed of:
Dextrose = 50 g/L
Na+ = 130 mmol/L
K+ = 4 mmol/L
Ca++ = 1.22-1.5 mmol/L
Cl- = 109 mmol/L
Lactate = 28 mmol/L *Primary Health Care",V06DC01,,,,STREPTOKINASE,STREPTOKINASE,DEXTROSE,DEXTROSE,INJ.
Dextrose,Inj.:,"5% in Lactated ringers in 500 mL Bottle/Bag (IV infusion) composed of:
Dextrose = 50 g/L
Na+ = 130 mmol/L
K+ = 4 mmol/L
Ca++ = 1.22-1.5 mmol/L
Cl- = 109 mmol/L
Lactate = 28 mmol/L *Primary Health Care",V06DC01,,,,STREPTOKINASE,STREPTOKINASE,DEXTROSE,DEXTROSE,INJ.
Dextrose,Inj.:,"5% in Lactated ringers in 1 L Bottle/Bag (IV infusion) composed of:
Dextrose = 50 g/L
Na+ = 130 mmol/L
K+ = 4 mmol/L
Ca++ = 1.22-1.5 mmol/L
Cl- = 109 mmol/L
Lactate = 28 mmol/L *Primary Health Care",V06DC01,,,,STREPTOKINASE,STREPTOKINASE,DEXTROSE,DEXTROSE,INJ.
Dextrose,Inj.:,5% in Water in 250 mL Bottle/Bag (IV infusion and as vehicle for IV medications) *Primary Health Care,V06DC01,,,,STREPTOKINASE,STREPTOKINASE,DEXTROSE,DEXTROSE,INJ.
Dextrose,Inj.:,5% in Water in 500 mL Bottle/Bag (IV infusion and as vehicle for IV medications) ,V06DC01,,,,STREPTOKINASE,STREPTOKINASE,DEXTROSE,DEXTROSE,INJ.
Dextrose,Inj.:,5% in Water in 1 L Bottle/Bag (IV infusion and as vehicle for IV medications) ,V06DC01,,,,STREPTOKINASE,STREPTOKINASE,DEXTROSE,DEXTROSE,INJ.
Dextrose,,10% in Water in 250 mL Bottle/Bag (IV infusion) ,V06DC01,,,,STREPTOKINASE,STREPTOKINASE,DEXTROSE,DEXTROSE,
Dextrose,Inj.:,10% in Water in 500 mL Bottle/Bag (IV infusion) ,V06DC01,,,,STREPTOKINASE,STREPTOKINASE,DEXTROSE,DEXTROSE,INJ.
Dextrose,Inj.:,10% in Water in 1 L Bottle/Bag (IV infusion) ,V06DC01,,,,STREPTOKINASE,STREPTOKINASE,DEXTROSE,DEXTROSE,INJ.
Dextrose,Inj.:,10% in Water in 3 mL Ampul (As solvent) ,V06DC01,,,,STREPTOKINASE,STREPTOKINASE,DEXTROSE,DEXTROSE,INJ.
Diazepam,Oral:,5 mg Tablet *Primary Health Care,N05BA01,,,,STREPTOKINASE,STREPTOKINASE,DIAZEPAM,DIAZEPAM,PO
Diazepam,Inj.:,"5 mg/mL in 2 mL Ampul (IM,IV) *Primary Health Care",N05BA01,,,,STREPTOKINASE,STREPTOKINASE,DIAZEPAM,DIAZEPAM,INJ.
Diclofenac,Oral:,25 mg (as Sodium/Potassium) Tablet/Capsule ,M01AB05,,,,STREPTOKINASE,STREPTOKINASE,DICLOFENAC,DICLOFENAC,PO
Diclofenac,Oral:,50 mg (as Sodium/Potassium) Tablet/Capsule ,M01AB05,,,,STREPTOKINASE,STREPTOKINASE,DICLOFENAC,DICLOFENAC,PO
Diclofenac,Oral:,50 mg (as Sodium) Enteric-coated/Modified Release (MR) tablet ,M01AB05,,,,STREPTOKINASE,STREPTOKINASE,DICLOFENAC,DICLOFENAC,PO
Diclofenac,Oral:,100 mg (as Sodium/Potassium) Modified Release (MR) tablet/Capsule ,M01AB05,,,,STREPTOKINASE,STREPTOKINASE,DICLOFENAC,DICLOFENAC,PO
Diclofenac,Inj.:,"25 mg/mL (as Sodium) in 3 mL Ampul (IM, IV) ",M01AB05,,,,STREPTOKINASE,STREPTOKINASE,DICLOFENAC,DICLOFENAC,INJ.
Dicycloverine (Dicyclomine),Oral:,10 mg (as Hydrochloride) Tablet *Primary Health Care,A03AA07,,,,STREPTOKINASE,STREPTOKINASE,DICYCLOVERINE (DICYCLOMINE),DICYCLOVERINE (DICYCLOMINE),PO
Dicycloverine (Dicyclomine),Oral:,10 mg/5 mL (as Hydrochloride) Syrup in 60 mL *Primary Health Care,A03AA07,,,,STREPTOKINASE,STREPTOKINASE,DICYCLOVERINE (DICYCLOMINE),DICYCLOVERINE (DICYCLOMINE),PO
Diethylcarbamazine,Oral:,50 mg Tablet *Primary Health Care,P02CB02,,,,STREPTOKINASE,STREPTOKINASE,DIETHYLCARBAMAZINE,DIETHYLCARBAMAZINE,PO
Diethylcarbamazine,Oral:,100 mg Tablet ,P02CB02,,,,STREPTOKINASE,STREPTOKINASE,DIETHYLCARBAMAZINE,DIETHYLCARBAMAZINE,PO
Digoxin,Oral:,250 mcg Tablet *Primary Health Care,C01AA05,,,,STREPTOKINASE,STREPTOKINASE,DIGOXIN,DIGOXIN,PO
Digoxin,Oral:,50 mcg/mL Elixir in 60 mL ,C01AA05,,,,STREPTOKINASE,STREPTOKINASE,DIGOXIN,DIGOXIN,PO
Digoxin,Inj.:,"250 mcg/mL in 2 mL Ampul (IM, IV) ",C01AA05,,,,STREPTOKINASE,STREPTOKINASE,DIGOXIN,DIGOXIN,INJ.
Diloxanide,Oral:,500 mg (as Furoate) Tablet ,P01AC01,,,,STREPTOKINASE,STREPTOKINASE,DILOXANIDE,DILOXANIDE,PO
Diloxanide,Oral:,125 mg/5 mL (as Furoate) Syrup/Suspension in 30 mL ,P01AC01,,,,STREPTOKINASE,STREPTOKINASE,DILOXANIDE,DILOXANIDE,PO
Diloxanide,Oral:,125 mg/5 mL (as Furoate) Syrup/Suspension in 60 mL ,P01AC01,,,,STREPTOKINASE,STREPTOKINASE,DILOXANIDE,DILOXANIDE,PO
Diltiazem,Oral:,60 mg (as Hydrochloride) Tablet *Primary Health Care,C08DB01,,,,STREPTOKINASE,STREPTOKINASE,DILTIAZEM,DILTIAZEM,PO
Diltiazem,Oral:,60 mg (as Hydrochloride) Modified Release (MR) capsule *Primary Health Care,C08DB01,,,,STREPTOKINASE,STREPTOKINASE,DILTIAZEM,DILTIAZEM,PO
Diltiazem,Oral:,120 mg (as Hydrochloride) Modified Release (MR) capsule *Primary Health Care,C08DB01,,,,STREPTOKINASE,STREPTOKINASE,DILTIAZEM,DILTIAZEM,PO
Diltiazem,Oral:,180 mg (as Hydrochloride) Modified Release (MR) capsule *Primary Health Care,C08DB01,,,,STREPTOKINASE,STREPTOKINASE,DILTIAZEM,DILTIAZEM,PO
Diltiazem,Oral:,240 mg (as Hydrochloride) Modified Release (MR) capsule ,C08DB01,,,,STREPTOKINASE,STREPTOKINASE,DILTIAZEM,DILTIAZEM,PO
Diltiazem,Oral:,120 mg (as Hydrochloride) Modified Release (MR) tablet *Primary Health Care,C08DB01,,,,STREPTOKINASE,STREPTOKINASE,DILTIAZEM,DILTIAZEM,PO
Diltiazem,Oral:,180 mg (as Hydrochloride) Modified Release (MR) tablet *Primary Health Care,C08DB01,,,,STREPTOKINASE,STREPTOKINASE,DILTIAZEM,DILTIAZEM,PO
Diltiazem,Oral:,30 mg (as Hydrochloride) Tablet *Primary Health Care,C08DB01 ,,,,STREPTOKINASE,STREPTOKINASE,DILTIAZEM,DILTIAZEM,PO
Diltiazem,Oral:,90 mg (as Hydrochloride) Modified Release (MR) capsule *Primary Health Care,C08DB01 ,,,,STREPTOKINASE,STREPTOKINASE,DILTIAZEM,DILTIAZEM,PO
Diltiazem,Oral:,90 mg (as Hydrochloride) Modified Release (MR) tablet *Primary Health Care,C08DB01 ,,,,STREPTOKINASE,STREPTOKINASE,DILTIAZEM,DILTIAZEM,PO
Dimeglumine Gadopentate,Inj.:,469 mg/mL Aqueous solution in 5 mL Vial ,V08CA01,,,,STREPTOKINASE,STREPTOKINASE,DIMEGLUMINE GADOPENTATE,DIMEGLUMINE GADOPENTATE,INJ.
Dimeglumine Gadopentate,Inj.:,469 mg/mL Aqueous solution in 10 mL Vial ,V08CA01,,,,STREPTOKINASE,STREPTOKINASE,DIMEGLUMINE GADOPENTATE,DIMEGLUMINE GADOPENTATE,INJ.
Dimeglumine Gadopentate,Inj.:,469 mg/mL Aqueous solution in 20 mL Vial ,V08CA01,,,,STREPTOKINASE,STREPTOKINASE,DIMEGLUMINE GADOPENTATE,DIMEGLUMINE GADOPENTATE,INJ.
Dimercaprol,Inj.:,"50 mg/mL in Oil, in 2 mL Ampul (IM) ",V03AB09,,,,STREPTOKINASE,STREPTOKINASE,DIMERCAPROL,DIMERCAPROL,INJ.
Dimercaptopropane-sulfonate (DMPS),Inj.:,100 mg/mL in 1 mL Ampul (IM) ,V03AB ,,,,STREPTOKINASE,STREPTOKINASE,DIMERCAPTOPROPANE-SULFONATE (DMPS),DIMERCAPTOPROPANE-SULFONATE (DMPS),INJ.
Dimercaptopropane-sulfonate (DMPS),Inj.:,100 mg/mL in 10 mL Vial (IM) ,V03AB ,,,,STREPTOKINASE,STREPTOKINASE,DIMERCAPTOPROPANE-SULFONATE (DMPS),DIMERCAPTOPROPANE-SULFONATE (DMPS),INJ.
Diphenhydramine,Oral:,25 mg (as Hydrochloride) Capsule *Primary Health Care,D04AA32,,,,STREPTOKINASE,STREPTOKINASE,DIPHENHYDRAMINE,DIPHENHYDRAMINE,PO
Diphenhydramine,Oral:,50 mg (as Hydrochloride) Capsule *Primary Health Care,D04AA32,,,,STREPTOKINASE,STREPTOKINASE,DIPHENHYDRAMINE,DIPHENHYDRAMINE,PO
Diphenhydramine,Oral:,12.5 mg/mL (as Hydrochloride) Syrup in 30 mL *Primary Health Care,D04AA32,,,,STREPTOKINASE,STREPTOKINASE,DIPHENHYDRAMINE,DIPHENHYDRAMINE,PO
Diphenhydramine,Oral:,12.5 mg/mL (as Hydrochloride) Syrup in 60 mL *Primary Health Care,D04AA32,,,,STREPTOKINASE,STREPTOKINASE,DIPHENHYDRAMINE,DIPHENHYDRAMINE,PO
Diphenhydramine,Inj.:,"50 mg/mL (as Hydrochloride) in 1 mL Ampul (IM,IV) *Primary Health Care",D04AA32,,,,STREPTOKINASE,STREPTOKINASE,DIPHENHYDRAMINE,DIPHENHYDRAMINE,INJ.
Diphtheria + Tetanus + Pertussis  + Hepatitis B recombinant + Hemophilus Influenza Type B Vaccine,Inj.:,0.5 mL Suspension for injection Vial (IM) ,J07CA11,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS + PERTUSSIS + HEPATITIS B RECOMBINANT + HEMOPHILUS INFLUENZA TYPE B VACCINE,DIPHTHERIA + TETANUS + PERTUSSIS + HEPATITIS B RECOMBINANT + HEMOPHILUS INFLUENZA TYPE B VACCINE,INJ.
Diphtheria + Tetanus Toxoids (DT) Vaccine,Inj.:,"30 IU + 40 IU per 0.5 mL, Ampul (IM) ",J07AF01,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS (DT) VACCINE,DIPHTHERIA + TETANUS TOXOIDS (DT) VACCINE,INJ.
Diphtheria + Tetanus Toxoids (Td) Vaccine,Inj.:,"≥ 2 IU + ≥ 40 IU per 0.5 mL, Ampul (IM) ",J07AF01,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS (TD) VACCINE,DIPHTHERIA + TETANUS TOXOIDS (TD) VACCINE,INJ.
Diphtheria + Tetanus Toxoids (Td) Vaccine,Inj.:,"≥ 2 IU + ≥ 40 IU per 0.5 mL, Multidose vial (IM)(10 doses per vial) ",J07AF01,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS (TD) VACCINE,DIPHTHERIA + TETANUS TOXOIDS (TD) VACCINE,INJ.
Diphtheria + Tetanus Toxoids + Acellular Pertussis (DTaP) Vaccine,Inj.:,0.5 mL Pre-filled syringe (IM) ,J07AJ52,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + ACELLULAR PERTUSSIS (DTAP) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + ACELLULAR PERTUSSIS (DTAP) VACCINE,INJ.
Diphtheria + Tetanus Toxoids + Acellular Pertussis + Haemophilus Influenzae Type B (DTaP + Hib) Vaccine,Inj.:,0.5 mL Pre-filled syringe (IM) ,J07AG52,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + ACELLULAR PERTUSSIS + HAEMOPHILUS INFLUENZAE TYPE B (DTAP + HIB) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + ACELLULAR PERTUSSIS + HAEMOPHILUS INFLUENZAE TYPE B (DTAP + HIB) VACCINE,INJ.
Diphtheria + Tetanus Toxoids + Pertussis (DTP) Vaccine,Inj.:,0.5 mL Ampul (IM) *Primary Health Care,J07AJ51,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,INJ.
Diphtheria + Tetanus Toxoids + Pertussis (DTP) Vaccine,Inj.:,0.5 mL Pre-filled syringe (IM) *Primary Health Care,J07AJ51,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,INJ.
Diphtheria + Tetanus Toxoids + Pertussis (DTP) Vaccine,Inj.:,in 0.5 mL Vial (IM) *Primary Health Care,J07AJ51,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,INJ.
Diphtheria + Tetanus Toxoids + Pertussis (DTP) Vaccine,Inj.:,in 5 mL Vial (IM) *Primary Health Care,J07AJ51,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,INJ.
Diphtheria + Tetanus Toxoids + Pertussis (DTP) Vaccine,Inj.:,in 7.5 mL Vial (IM) *Primary Health Care,J07AJ51,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,INJ.
Diphtheria + Tetanus Toxoids + Pertussis (DTP) Vaccine,Inj.:,in 10 mL Vial (IM) *Primary Health Care,J07AJ51,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS (DTP) VACCINE,INJ.
Diphtheria + Tetanus Toxoids + Pertussis + Haemophilus Influenzae Type B (DTP + Hib) Vaccine,Inj.:,"10 mcg (as Hib) Freeze-dried powder Vial + 0.5 mL DTP diluent in pre-filled syringe (IM, SC) ",J07CA11,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS + HAEMOPHILUS INFLUENZAE TYPE B (DTP + HIB) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS + HAEMOPHILUS INFLUENZAE TYPE B (DTP + HIB) VACCINE,INJ.
Diphtheria + Tetanus Toxoids + Pertussis + Hepatitis B (Recombinant) Vaccine,Inj.:,"0.5 mL Vial (IM, SC) ",J07CA05,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS + HEPATITIS B (RECOMBINANT) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS + HEPATITIS B (RECOMBINANT) VACCINE,INJ.
Diphtheria + Tetanus Toxoids + Pertussis + Inactivated Polio Vaccine (DTP + IPV) Vaccine,Inj.:,"0.5 mL Monodose vial (IM, SC) ",J07CA02,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS + INACTIVATED POLIO VACCINE (DTP + IPV) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS + INACTIVATED POLIO VACCINE (DTP + IPV) VACCINE,INJ.
Diphtheria + Tetanus Toxoids + Pertussis + Inactivated Polio Vaccine (DTP + IPV) Vaccine,Inj.:,"0.5 mL Pre-filled syringe (IM, SC) ",J07CA02,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS + INACTIVATED POLIO VACCINE (DTP + IPV) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS + INACTIVATED POLIO VACCINE (DTP + IPV) VACCINE,INJ.
Diphtheria + Tetanus Toxoids + Pertussis + Inactivated Polio Vaccine + Haemophilus Influenzae Type B (DTP + IPV + Hib) Vaccine,Inj.:,"0.5 mL Pre-filled syringe (IM, SC) ",J07CA06,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS + INACTIVATED POLIO VACCINE + HAEMOPHILUS INFLUENZAE TYPE B (DTP + IPV + HIB) VACCINE,DIPHTHERIA + TETANUS TOXOIDS + PERTUSSIS + INACTIVATED POLIO VACCINE + HAEMOPHILUS INFLUENZAE TYPE B (DTP + IPV + HIB) VACCINE,INJ.
Diphtheria Antitoxin,Inj.:,"10,000 IU in 5 mL (IM) ",J06AA01,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA ANTITOXIN,DIPHTHERIA ANTITOXIN,INJ.
Diphtheria Antitoxin,Inj.:,"10,000 IU in 10 mL (IM) ",J06AA01,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA ANTITOXIN,DIPHTHERIA ANTITOXIN,INJ.
Diphtheria Antitoxin,Inj.:,"20,000 IU in 5 mL (IM) ",J06AA01,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA ANTITOXIN,DIPHTHERIA ANTITOXIN,INJ.
Diphtheria Antitoxin,Inj.:,"20,000 IU in 10 mL (IM) ",J06AA01,,,,STREPTOKINASE,STREPTOKINASE,DIPHTHERIA ANTITOXIN,DIPHTHERIA ANTITOXIN,INJ.
Dipyridamole,Oral:,25 mg Tablet (Preferably used in combination with aspirin) ,B01AC07,,,,STREPTOKINASE,STREPTOKINASE,DIPYRIDAMOLE,DIPYRIDAMOLE,PO
Dobutamine,Inj.:,50 mg/mL (as Hydrochloride) in 5 mL Ampul (Concentrate) (IV infusion) ,C01CA07,,,,STREPTOKINASE,STREPTOKINASE,DOBUTAMINE,DOBUTAMINE,INJ.
Dobutamine,Inj.:,2 mg/mL (as Hydrochloride) + 250 mL D5W (pre-mixed) (IV) ,C01CA07,,,,STREPTOKINASE,STREPTOKINASE,DOBUTAMINE,DOBUTAMINE,INJ.
Docetaxel,Inj.:,10 mg/mL Solution for infusion in 2 mL Vial (IV infusion) ,L01CD02,,,,STREPTOKINASE,STREPTOKINASE,DOCETAXEL,DOCETAXEL,INJ.
Docetaxel,Inj.:,10 mg/mL Solution for infusion in 8 mL Vial (IV infusion) ,L01CD02,,,,STREPTOKINASE,STREPTOKINASE,DOCETAXEL,DOCETAXEL,INJ.
Docetaxel,Inj.:,20 mg/0.5 mL (as Anhydrous) in 0.5 mL Vial (IV infusion) ,L01CD02,,,,STREPTOKINASE,STREPTOKINASE,DOCETAXEL,DOCETAXEL,INJ.
Docetaxel,Inj.:,40 mg/mL (as Anhydrous) in 2 mL Vial (IV infusion) ,L01CD02,,,,STREPTOKINASE,STREPTOKINASE,DOCETAXEL,DOCETAXEL,INJ.
Docetaxel,Inj.:,20 mg/mL (as Trihydrate) Solution for IV infusion in 1 mL Vial (Concentrate) ,L01CD02,,,,STREPTOKINASE,STREPTOKINASE,DOCETAXEL,DOCETAXEL,INJ.
Docetaxel,Inj.:,80 mg/4 mL (as Trihydrate) Solution for IV infusion in 4 mL Vial (Concentrate) ,L01CD02,,,,STREPTOKINASE,STREPTOKINASE,DOCETAXEL,DOCETAXEL,INJ.
Dolutegravir,Oral:,50 mg Tablet ,J05AJ03,,,,STREPTOKINASE,STREPTOKINASE,DOLUTEGRAVIR,DOLUTEGRAVIR,PO
Domperidone,Oral:,10 mg Tablet ,A03FA03,,,,STREPTOKINASE,STREPTOKINASE,DOMPERIDONE,DOMPERIDONE,PO
Domperidone,Oral:,1 mg/mL Suspension in 60 mL ,A03FA03,,,,STREPTOKINASE,STREPTOKINASE,DOMPERIDONE,DOMPERIDONE,PO
Donepizil,Oral:,5 mg Tablet/Orodispersible tablet (ODT) ,N06DA02,,,,STREPTOKINASE,STREPTOKINASE,DONEPIZIL,DONEPIZIL,PO
Donepizil,Oral:,10 mg Tablet/Orodispersible tablet (ODT) ,N06DA02,,,,STREPTOKINASE,STREPTOKINASE,DONEPIZIL,DONEPIZIL,PO
Dopamine,Inj.:,40 mg/mL (as Hydrochloride) in 5 mL Ampul/Vial (IV) *Primary Health Care,C01CA04,,,,STREPTOKINASE,STREPTOKINASE,DOPAMINE,DOPAMINE,INJ.
Dopamine,Inj.:,800 mcg/mL (as Hydrochloride) + 250 mL D5W (pre-mixed) (IV) *Primary Health Care,C01CA04,,,,STREPTOKINASE,STREPTOKINASE,DOPAMINE,DOPAMINE,INJ.
Dopamine,Inj.:,1.6 mg/mL (as Hydrochloride) + 250 mL D5W (pre-mixed) (IV) ,C01CA04,,,,STREPTOKINASE,STREPTOKINASE,DOPAMINE,DOPAMINE,INJ.
Dopamine,Inj.:,80 mg/mL in 5 mL Vial (IV) *Primary Health Care,C01CA04 ,,,,STREPTOKINASE,STREPTOKINASE,DOPAMINE,DOPAMINE,INJ.
Dorzolamide,Ophthalmic:,2% (as Hydrochloride) Ophthalmic solution in 5 mL Vial (drops) ,S01EC03,,,,STREPTOKINASE,STREPTOKINASE,DORZOLAMIDE,DORZOLAMIDE,OPHTHALMIC
Doxorubicin,Inj.:,10 mg (as Hydrochloride) Powder Vial (IV) ,L01DB01,,,,STREPTOKINASE,STREPTOKINASE,DOXORUBICIN,DOXORUBICIN,INJ.
Doxorubicin,Inj.:,50 mg (as Hydrochloride) Powder Vial (IV) ,L01DB01,,,,STREPTOKINASE,STREPTOKINASE,DOXORUBICIN,DOXORUBICIN,INJ.
Doxorubicin,Inj.:,2 mg/mL (as Hydrochloride) in 5 mL Vial (IV) ,L01DB01,,,,STREPTOKINASE,STREPTOKINASE,DOXORUBICIN,DOXORUBICIN,INJ.
